商品A,商品B,共现发票数,A发票数,B发票数,总发票数,支持度,置信度_A到B,置信度_B到A,提升度,商品A名,商品B名
22679,22685,114,230,160,38663,0.0029,0.4957,0.7125,119.78,"FRENCH BLUE METAL DOOR SIGN, 4","FRENCH BLUE METAL DOOR SIGN, 0"
22514,22516,116,233,162,38663,0.003,0.4979,0.716,118.83,CHILDS GARDEN SPADE BLUE,CHILDS GARDEN RAKE BLUE
82613B,82613C,128,223,187,38663,0.0033,0.574,0.6845,118.68,"METAL SIGN,CUPCAKE SINGLE HOOK","METAL SIGN,CUPCAKE SINGLE HOOK"
22701,22703,80,158,165,38663,0.0021,0.5063,0.4848,118.64,PINK DOG BOWL,PINK CAT BOWL
22779,22780,105,193,179,38663,0.0027,0.544,0.5866,117.5,WOODEN OWLS LIGHT GARLAND ,LIGHT GARLAND BUTTERFILES PINK
22514,22515,146,233,208,38663,0.0038,0.6266,0.7019,116.47,CHILDS GARDEN SPADE BLUE,CHILDS GARDEN SPADE PINK
23389,23390,116,237,163,38663,0.003,0.4895,0.7117,116.11,SPACEBOY MINI RUCKSACK,DOLLY GIRL MINI RUCKSACK
23370,23371,83,151,185,38663,0.0021,0.5497,0.4486,114.88,SET 36 COLOURING PENCILS DOILY,SET 36 COLOUR PENCILS SPACEBOY
85131B,85131D,171,216,267,38663,0.0044,0.7917,0.6404,114.64,BEADED CRYSTAL HEART GREEN ON ,BEADED CRYSTAL HEART PINK\ON S
22021,85206B,126,233,183,38663,0.0033,0.5408,0.6885,114.26,BLUE FELT EASTER EGG BASKET,PINK FELT EASTER EGG BASKET
22681,22682,101,189,182,38663,0.0026,0.5344,0.5549,113.52,"FRENCH BLUE METAL DOOR SIGN, 6","FRENCH BLUE METAL DOOR SIGN, 7"
22228,22229,149,275,185,38663,0.0039,0.5418,0.8054,113.23,BUNNY WOODEN PAINTED WITH BIRD,BUNNY WOODEN PAINTED WITH FLOW
22681,22683,105,189,190,38663,0.0027,0.5556,0.5526,113.06,"FRENCH BLUE METAL DOOR SIGN, 6","FRENCH BLUE METAL DOOR SIGN, 8"
23290,23291,122,214,195,38663,0.0032,0.5701,0.6256,113.03,SPACEBOY CHILDRENS BOWL,DOLLY GIRL CHILDRENS CUP
23013,23014,136,223,209,38663,0.0035,0.6099,0.6507,112.83,GLASS APOTHECARY BOTTLE TONIC,GLASS APOTHECARY BOTTLE ELIXIR
22680,22685,107,230,160,38663,0.0028,0.4652,0.6688,112.41,"FRENCH BLUE METAL DOOR SIGN, 5","FRENCH BLUE METAL DOOR SIGN, 0"
23388,23389,105,154,237,38663,0.0027,0.6818,0.443,111.23,WOODLAND MINI RUCKSACK ,SPACEBOY MINI RUCKSACK
23289,23292,122,191,222,38663,0.0032,0.6387,0.5495,111.23,DOLLY GIRL CHILDRENS BOWL,SPACEBOY CHILDRENS CUP
23031,23032,88,155,199,38663,0.0023,0.5677,0.4422,110.3,DRAWER KNOB CRACKLE GLAZE PINK,DRAWER KNOB CRACKLE GLAZE IVOR
23395,23396,117,210,196,38663,0.003,0.5571,0.5969,109.89,BELLE JARDINIERE CUSHION COVER,LE JARDIN BOTANIQUE CUSHION CO
23193,23194,106,175,214,38663,0.0027,0.6057,0.4953,109.43,BUFFALO BILL TREASURE BOOK BOX,GYMKHANNA TREASURE BOOK BOX
22678,22685,112,248,160,38663,0.0029,0.4516,0.7,109.13,"FRENCH BLUE METAL DOOR SIGN, 3","FRENCH BLUE METAL DOOR SIGN, 0"
22679,22682,118,230,182,38663,0.0031,0.513,0.6484,108.98,"FRENCH BLUE METAL DOOR SIGN, 4","FRENCH BLUE METAL DOOR SIGN, 7"
21823,21824,126,212,211,38663,0.0033,0.5943,0.5972,108.9,PAINTED METAL HEART WITH HOLLY,PAINTED METAL STAR WITH HOLLY 
22680,22682,117,230,182,38663,0.003,0.5087,0.6429,108.07,"FRENCH BLUE METAL DOOR SIGN, 5","FRENCH BLUE METAL DOOR SIGN, 7"
22679,22684,104,230,162,38663,0.0027,0.4522,0.642,107.92,"FRENCH BLUE METAL DOOR SIGN, 4","FRENCH BLUE METAL DOOR SIGN, 9"
20702,20703,115,245,169,38663,0.003,0.4694,0.6805,107.39,PINK PADDED MOBILE,BLUE PADDED SOFT MOBILE
23210,23213,81,192,152,38663,0.0021,0.4219,0.5329,107.32,WHITE ROCKING HORSE HAND PAINT,STAR WREATH DECORATION WITH BE
21925,21927,89,167,192,38663,0.0023,0.5329,0.4635,107.31,UNION STRIPE CUSHION COVER ,BLUE/CREAM STRIPE CUSHION COVE
22450,22451,118,180,238,38663,0.0031,0.6556,0.4958,106.5,SILK PURSE RUSSIAN DOLL BLUE,SILK PURSE RUSSIAN DOLL RED
21454,21455,89,194,167,38663,0.0023,0.4588,0.5329,106.22,PAINTED PINK RABBIT ,PAINTED YELLOW WOODEN DAISY
22677,22685,123,280,160,38663,0.0032,0.4393,0.7688,106.15,"FRENCH BLUE METAL DOOR SIGN, 2","FRENCH BLUE METAL DOOR SIGN, 0"
23012,23014,141,246,209,38663,0.0036,0.5732,0.6746,106.04,GLASS APOTHECARY BOTTLE PERFUM,GLASS APOTHECARY BOTTLE ELIXIR
23050,23051,91,205,162,38663,0.0024,0.4439,0.5617,105.94,RECYCLED ACAPULCO MAT GREEN,RECYCLED ACAPULCO MAT BLUE
22247,22248,86,182,173,38663,0.0022,0.4725,0.4971,105.6,BUNNY DECORATION MAGIC GARDEN,DECORATION  PINK CHICK MAGIC G
22515,22516,92,208,162,38663,0.0024,0.4423,0.5679,105.56,CHILDS GARDEN SPADE PINK,CHILDS GARDEN RAKE BLUE
23211,23212,81,160,186,38663,0.0021,0.5062,0.4355,105.22,RED ROCKING HORSE HAND PAINTED,PAINTED HEART WREATH WITH BELL
23101,23102,91,213,157,38663,0.0024,0.4272,0.5796,105.2,SILVER STARS TABLE DECORATION,SILVER HEARTS TABLE DECORATION
22680,22681,118,230,189,38663,0.0031,0.513,0.6243,104.94,"FRENCH BLUE METAL DOOR SIGN, 5","FRENCH BLUE METAL DOOR SIGN, 6"
22680,22684,101,230,162,38663,0.0026,0.4391,0.6235,104.8,"FRENCH BLUE METAL DOOR SIGN, 5","FRENCH BLUE METAL DOOR SIGN, 9"
22679,22683,118,230,190,38663,0.0031,0.513,0.6211,104.39,"FRENCH BLUE METAL DOOR SIGN, 4","FRENCH BLUE METAL DOOR SIGN, 8"
22679,22681,117,230,189,38663,0.003,0.5087,0.619,104.06,"FRENCH BLUE METAL DOOR SIGN, 4","FRENCH BLUE METAL DOOR SIGN, 6"
23029,23032,83,156,199,38663,0.0021,0.5321,0.4171,103.38,DRAWER KNOB CRACKLE GLAZE GREE,DRAWER KNOB CRACKLE GLAZE IVOR
85203,85204,92,224,154,38663,0.0024,0.4107,0.5974,103.11,HANGING WOOD AND FELT BUTTERFL,HANGING WOOD AND FELT FLOWER
23012,23013,146,246,223,38663,0.0038,0.5935,0.6547,102.9,GLASS APOTHECARY BOTTLE PERFUM,GLASS APOTHECARY BOTTLE TONIC
22680,22683,116,230,190,38663,0.003,0.5043,0.6105,102.62,"FRENCH BLUE METAL DOOR SIGN, 5","FRENCH BLUE METAL DOOR SIGN, 8"
84559A,84559B,119,230,195,38663,0.0031,0.5174,0.6103,102.59,3D SHEET OF DOG STICKERS,3D SHEET OF CAT STICKERS
22247,22249,117,182,243,38663,0.003,0.6429,0.4815,102.29,BUNNY DECORATION MAGIC GARDEN,DECORATION WHITE CHICK MAGIC G
23394,23395,83,150,210,38663,0.0021,0.5533,0.3952,101.87,POSTE FRANCE CUSHION COVER,BELLE JARDINIERE CUSHION COVER
23156,23159,119,205,223,38663,0.0031,0.5805,0.5336,100.65,SET OF 5 MINI GROCERY MAGNETS,SET OF 5 PANCAKE DAY MAGNETS
22676,22685,127,305,160,38663,0.0033,0.4164,0.7938,100.62,"FRENCH BLUE METAL DOOR SIGN, 1","FRENCH BLUE METAL DOOR SIGN, 0"
21014,21015,90,189,186,38663,0.0023,0.4762,0.4839,98.99,SWISS CHALET TREE DECORATION ,DARK BIRD HOUSE TREE DECORATIO
